name,kind,aliases,members,note
KRT_PAN,FAMILY,PanCK|panCK|Pancytokeratin|Pan-Keratin|PanKeratin|Cytokeratin|PanKRT,KRT1|KRT4|KRT5|KRT6A|KRT7|KRT8|KRT10|KRT13|KRT14|KRT15|KRT16|KRT17|KRT18|KRT19|KRT20,pan-cytokeratin is an antibody cocktail across many keratins - no single gene
COL4,FAMILY,CollagenIV|Collagen IV|Collagen-IV|COLIV|Collagen 4,COL4A1|COL4A2|COL4A3|COL4A4|COL4A5|COL4A6,collagen IV has six alpha chains
H3,FAMILY,HH3|Histone H3|HistoneH3,H3C1|H3C2|H3C3|H3-3A|H3-3B,histone H3 is encoded by many near-identical genes; the antibody cannot tell them apart
HLA-DR,COMPLEX,HLADR|HLA_DR,HLA-DRA|HLA-DRB1|HLA-DRB5,MHC class II DR is an alpha/beta heterodimer - no single gene
HLA-DR-DP-DQ,COMPLEX,HLADRDPDQ|HLA-DR-DP-DQ,HLA-DRA|HLA-DRB1|HLA-DPA1|HLA-DPB1|HLA-DQA1|HLA-DQB1,pan MHC class II antibody
HLA_Class_1,COMPLEX,HLAClass1|HLA-ABC|MHC-I,HLA-A|HLA-B|HLA-C,MHC class I heavy chains
CD3,COMPLEX,CD3e|CD3epsilon,CD3D|CD3E|CD3G,"JUDGEMENT CALL: in multiplex imaging the pan-CD3 reagent targets the CD3 complex and is in practice anti-CD3e. UPMC names it CD3e, five cohorts name it CD3, and no cohort carries both - so they are treated as one target. Keeping them apart would strand UPMC's only pan-T-cell marker."
CD16,COMPLEX,FCGR3|CD16a|CD16b,FCGR3A|FCGR3B,"CD16 antibodies generally do not separate FCGR3A (NK) from FCGR3B (neutrophil); UniProt returns both, so it is recorded as a complex rather than guessed"
NAKATPASE,COMPLEX,Na-K-ATPase|NaKATPase|Na/K-ATPase,ATP1A1|ATP1B1,Na/K-ATPase is an alpha/beta pump complex
HOECHST,DYE,HOECHST1|HOECHST2|HOECHST3|Hoechst,,DNA-intercalating dye - not a protein
DRAQ5,DYE,,,DNA-intercalating dye - not a protein
DNA,DYE,DNA1|DNA2|dsDNA|Nuc|Nucleus,,DNA counterstain channel - not a protein target
C,ELEMENT,,,MIBI elemental channel - carbon
NA,ELEMENT,,,MIBI elemental channel - sodium
SI,ELEMENT,,,MIBI elemental channel - silicon
P,ELEMENT,,,MIBI elemental channel - phosphorus
CA,ELEMENT,Ca40,,MIBI elemental channel - calcium
FE,ELEMENT,,,MIBI elemental channel - iron
TA,ELEMENT,,,MIBI elemental channel - tantalum slide coating
AU,ELEMENT,,,MIBI elemental channel - gold slide substrate
BACKGROUND,ARTEFACT,,,background / noise channel
X140EMPTY,ARTEFACT,,,empty mass channel used as a blank
KRT8_18,COMPLEX,CK8-18|CK818|Cytokeratin 8/18|CK8/18,KRT8|KRT18,"Danenberg Nd144. Clone C51 is a dual keratin 8 / keratin 18 antibody; markerStackOrder names the channel CK8-18 and AbPanel names the target 'Cytokeratin 8/18'. Two genes one reagent - a complex, not a guess at one of them"
CC3_CPARP,COMPLEX,c-Caspase3|cCaspase3|c-Caspase3c-PARP|Cleaved Caspase3,CASP3|PARP1,"Danenberg Yb176. THE TWO SHIPPED PANEL FILES DISAGREE: markerStackOrder names the channel 'c-Caspase3c-PARP' (both targets) while AbPanel names it 'Cleaved Caspase3' clone C92-605. Recorded as a complex rather than resolved to one - the project rule is never guess. Danenberg-exclusive either way so nothing merges differently"
