a,b,reason
CD45,CD45RA,pan-CD45 and the CD45RA isoform antibody mean different things even though the gene is the same
CD45,CD45RO,pan-CD45 and the CD45RO isoform antibody mean different things even though the gene is the same
CD45RA,CD45RO,naive (RA) and memory (RO) isoforms mark opposite cell states
Pan-Keratin,Keratin17,pan-keratin is an antibody cocktail - KRT17 is one specific keratin
Pan-Keratin,Keratin6,pan-keratin is an antibody cocktail - KRT6A is one specific keratin
H3K9ac,H3K27me3,active and repressive histone marks on the same histone
phospho-S6,pSTAT3,different signalling proteins - both are phospho antibodies
B7H3,H3K9ac,B7H3 is CD276 and merely contains the letters H3 - it must not be read as a histone mark
CD66a,CD16,CD66a is CEACAM1; look-alike CD numbers must not collapse onto each other
panCK,CK5,pan-cytokeratin is an antibody cocktail - KRT5 is one specific keratin
panCK,CK8-18,pan-cytokeratin is an antibody cocktail - CK8-18 is a two-keratin reagent
