held,cluster,n,f1_fine,acc_fine,acc_coarse,lineage
CRC,0,523,0.4161,0.6616,0.6616,epithelial
CRC,2,520,0.4167,0.5577,0.5596,unassigned
CRC,3,1628,0.6942,0.933,0.933,T cell
CRC,5,354,0.5992,0.6186,0.6186,immune
CRC,6,1281,0.1177,0.0765,0.0765,endothelial
CRC,7,953,0.065,0.0336,0.426,unassigned
CRC,10,999,0.0,0.0,0.042,unassigned
CRC,14,27,0.125,0.0741,0.4074,unassigned
UPMC,0,2985,0.7146,0.6224,0.6224,epithelial
UPMC,1,994,0.3676,0.2857,0.2907,immune
UPMC,3,485,0.4617,0.3918,0.5423,immune
UPMC,4,498,0.563,0.5964,0.6185,T cell
UPMC,7,496,0.7142,0.8185,0.8185,endothelial
UPMC,8,496,0.069,0.0363,0.2137,endothelial
UPMC,11,498,0.3846,0.2912,0.3936,T cell
UPMC,21,432,0.0273,0.0139,0.0394,T cell
Keren,0,874,0.5197,0.4531,0.4531,epithelial
Keren,1,935,0.4453,0.507,0.5572,immune
Keren,3,542,0.2073,0.1421,0.5203,immune
Keren,4,710,0.7666,0.9577,0.9746,T cell
Keren,5,1091,0.5308,0.7709,0.8103,T cell
Keren,6,306,0.5142,0.3856,0.3856,B cell
Keren,7,510,0.0155,0.0078,0.1745,immune
Keren,8,536,0.0111,0.0056,0.8806,T cell
Keren,9,668,0.0618,0.0374,0.3623,immune
Keren,12,497,0.0224,0.0141,0.0282,unassigned
Keren,16,962,0.018,0.0094,0.0249,unassigned
ferguson,0,1056,0.3717,0.2812,0.7983,unassigned
ferguson,1,639,0.5798,0.529,0.6995,unassigned
ferguson,3,532,0.4322,0.9041,0.9041,T cell
ferguson,4,447,0.6866,0.7696,0.7696,B cell
ferguson,8,962,0.0143,0.0073,0.632,T cell
ferguson,15,395,0.2803,0.1671,0.4405,unassigned
Phillips,0,704,0.7318,0.7344,0.7344,epithelial
Phillips,1,1511,0.4273,0.3561,0.4209,unassigned
Phillips,3,1069,0.658,0.6146,0.6286,T cell
Phillips,4,778,0.5223,0.5334,0.5733,T cell
Phillips,5,325,0.5432,0.8615,0.8615,B cell
Phillips,7,1087,0.02,0.0101,0.4204,T cell
Phillips,8,379,0.2073,0.2032,0.3958,unassigned
Phillips,19,84,0.0,0.0,0.4167,unassigned
Danenberg,1,419,0.1101,0.0716,0.074,endothelial
Danenberg,3,470,0.0,0.0,0.0085,endothelial
Danenberg,4,415,0.0,0.0,0.0193,T cell
Danenberg,8,417,0.009,0.0048,0.1871,unassigned
Danenberg,14,426,0.0,0.0,0.0,epithelial
Danenberg,23,340,0.292,0.2529,0.2529,T cell
Danenberg,25,483,0.1399,0.0828,0.2153,unassigned
Danenberg,26,451,0.0129,0.0067,0.0089,endothelial
Danenberg,29,69,0.0,0.0,0.0,B cell
Danenberg,37,294,0.0,0.0,0.0,B cell
Danenberg,38,59,0.0,0.0,0.2034,unassigned
Sorin,0,570,0.6636,0.7526,0.7526,epithelial
Sorin,1,505,0.3095,0.9584,0.9584,unassigned
Sorin,4,541,0.6857,0.9335,0.9445,T cell
Sorin,6,459,0.784,0.7037,0.7037,B cell
Sorin,7,564,0.5551,0.3972,0.3972,endothelial
Sorin,10,449,0.7341,0.7595,0.7617,T cell
Sorin,11,1046,0.0,0.0,0.1444,T cell
Sorin,13,341,0.0,0.0,0.8944,unassigned
Sorin,18,170,0.0,0.0,0.0882,T cell
