target,cluster,n,f1,coverage,confidence
CRC,0,523,0.4161,0.6612,0.8047
CRC,2,520,0.4167,0.8359,0.7998
CRC,3,1628,0.6942,0.9046,0.9234
CRC,5,354,0.5992,0.9167,0.8895
CRC,6,1281,0.1177,0.7428,0.7588
CRC,7,953,0.065,0.671,0.69
CRC,10,999,0.0,0.6658,0.7065
CRC,14,27,0.125,0.642,0.5897
UPMC,0,2985,0.7146,0.6491,0.6992
UPMC,1,994,0.3676,0.6854,0.5972
UPMC,3,485,0.4617,0.4993,0.5458
UPMC,4,498,0.563,0.7396,0.7099
UPMC,7,496,0.7142,0.8078,0.7795
UPMC,8,496,0.069,0.5917,0.6068
UPMC,11,498,0.3846,0.5087,0.6024
UPMC,21,432,0.0273,0.4452,0.4735
Keren,0,874,0.5197,0.6142,0.675
Keren,1,935,0.4453,0.6909,0.6921
Keren,3,542,0.2073,0.631,0.6469
Keren,4,710,0.7666,0.881,0.9025
Keren,5,1091,0.5308,0.7521,0.7964
Keren,6,306,0.5142,0.7146,0.6603
Keren,7,510,0.0155,0.6781,0.6658
Keren,8,536,0.0111,0.7332,0.7972
Keren,9,668,0.0618,0.6397,0.671
Keren,12,497,0.0224,0.776,0.7674
Keren,16,962,0.018,0.6696,0.6555
ferguson,0,1056,0.3717,0.6127,0.649
ferguson,1,639,0.5798,0.7731,0.7251
ferguson,3,532,0.4322,0.9292,0.8772
ferguson,4,447,0.6866,0.8691,0.8737
ferguson,8,962,0.0143,0.7737,0.7299
ferguson,15,395,0.2803,0.6283,0.6097
Phillips,0,704,0.7318,0.7446,0.7047
Phillips,1,1511,0.4273,0.6095,0.6015
Phillips,3,1069,0.658,0.7147,0.7423
Phillips,4,778,0.5223,0.6399,0.6655
Phillips,5,325,0.5432,0.7462,0.8399
Phillips,7,1087,0.02,0.5799,0.622
Phillips,8,379,0.2073,0.4894,0.5818
Phillips,19,84,0.0,0.5595,0.6024
Danenberg,1,419,0.1101,0.385,0.5693
Danenberg,3,470,0.0,0.4592,0.5462
Danenberg,4,415,0.0,0.6928,0.7566
Danenberg,8,417,0.009,0.5152,0.5677
Danenberg,14,426,0.0,0.5207,0.5212
Danenberg,23,340,0.292,0.4299,0.5144
Danenberg,25,483,0.1399,0.4465,0.5563
Danenberg,26,451,0.0129,0.4793,0.6349
Danenberg,29,69,0.0,0.471,0.556
Danenberg,37,294,0.0,0.5431,0.6366
Danenberg,38,59,0.0,0.4802,0.4946
Sorin,0,570,0.6636,0.7614,0.8418
Sorin,1,505,0.3095,0.9627,0.9264
Sorin,4,541,0.6857,0.9526,0.9418
Sorin,6,459,0.784,0.8177,0.7749
Sorin,7,564,0.5551,0.6738,0.6863
Sorin,10,449,0.7341,0.5765,0.7385
Sorin,11,1046,0.0,0.7175,0.7802
Sorin,13,341,0.0,0.9238,0.8429
Sorin,18,170,0.0,0.8245,0.7307
