cohort,k,shots,f1,sd,cells
CRC,22,1,0.1703,0.0237,22
CRC,22,2,0.1898,0.0213,44
CRC,22,5,0.2371,0.0231,110
CRC,22,10,0.2886,0.0089,220
CRC,22,20,0.3289,0.0052,440
CRC,22,50,0.3539,0.0045,1100
CRC,22,100,0.3825,0.0037,2200
CRC,22,250,0.4218,0.002,5500
UPMC,16,1,0.2208,0.0233,16
UPMC,16,2,0.2909,0.0187,32
UPMC,16,5,0.3361,0.0231,80
UPMC,16,10,0.3625,0.0089,160
UPMC,16,20,0.3993,0.0061,320
UPMC,16,50,0.4467,0.0041,800
UPMC,16,100,0.4678,0.0029,1600
UPMC,16,250,0.4871,0.004,4000
Keren,16,1,0.2415,0.0324,16
Keren,16,2,0.3206,0.0264,32
Keren,16,5,0.3944,0.0164,80
Keren,16,10,0.4222,0.0174,160
Keren,16,20,0.4671,0.0081,320
Keren,16,50,0.5123,0.0082,800
Keren,16,100,0.5408,0.0066,1600
Keren,16,250,0.5655,0.0026,4000
ferguson,8,1,0.3531,0.0656,8
ferguson,8,2,0.4318,0.0678,16
ferguson,8,5,0.4428,0.0165,40
ferguson,8,10,0.5036,0.0243,80
ferguson,8,20,0.5188,0.0124,160
ferguson,8,50,0.5614,0.0246,400
ferguson,8,100,0.5778,0.0098,800
ferguson,8,250,0.6077,0.0075,2000
Phillips,20,1,0.1977,0.0323,20
Phillips,20,2,0.2631,0.0149,40
Phillips,20,5,0.3132,0.0131,100
Phillips,20,10,0.3496,0.0136,200
Phillips,20,20,0.384,0.0098,400
Phillips,20,50,0.4035,0.0069,1000
Phillips,20,100,0.4291,0.0033,2000
Phillips,20,250,0.4522,0.0036,5000
Danenberg,13,1,0.2144,0.0287,13
Danenberg,13,2,0.2456,0.0288,26
Danenberg,13,5,0.3113,0.0181,65
Danenberg,13,10,0.3507,0.0096,130
Danenberg,13,20,0.387,0.0108,260
Danenberg,13,50,0.4201,0.0044,650
Danenberg,13,100,0.4341,0.005,1300
Danenberg,13,250,0.4665,0.0034,3250
Sorin,16,1,0.3926,0.0774,16
Sorin,16,2,0.5014,0.0075,32
Sorin,16,5,0.6091,0.0227,80
Sorin,16,10,0.6798,0.0074,160
Sorin,16,20,0.7124,0.01,320
Sorin,16,50,0.7479,0.0036,800
Sorin,16,100,0.769,0.0021,1600
Sorin,16,250,0.7901,0.0023,4000
