a,b,n_labels,ari
CRC,Danenberg,78,0.4025
CRC,Keren,91,0.6098
CRC,Phillips,86,0.6141
CRC,Sorin,91,0.5814
CRC,UPMC,91,0.6013
CRC,ferguson,98,0.6444
Danenberg,Keren,85,0.3819
Danenberg,Phillips,80,0.478
Danenberg,Sorin,85,0.5556
Danenberg,UPMC,85,0.5019
Danenberg,ferguson,92,0.4637
Keren,Phillips,93,0.7684
Keren,Sorin,98,0.5516
Keren,UPMC,98,0.4952
Keren,ferguson,105,0.4647
Phillips,Sorin,93,0.6122
Phillips,UPMC,93,0.6092
Phillips,ferguson,100,0.4724
Sorin,UPMC,98,0.6587
Sorin,ferguson,105,0.6297
UPMC,ferguson,105,0.6003
