source,target,f1,shared_markers,jaccard,n_src,n_tgt,same_tissue,same_platform,src_classes,tgt_classes,class_cover,pooled,loco
UPMC,CRC,0.2983,29,0.439,39,56,0,1,9,9,0.667,0.2962,0.3042
Keren,CRC,0.2579,26,0.377,39,56,0,0,9,9,0.667,0.2962,0.3042
ferguson,CRC,0.2473,20,0.286,34,56,0,0,7,9,0.556,0.2962,0.3042
Phillips,CRC,0.256,47,0.712,57,56,0,1,9,9,0.667,0.2962,0.3042
Danenberg,CRC,0.2302,20,0.278,36,56,0,0,9,9,0.556,0.2962,0.3042
Sorin,CRC,0.2558,11,0.177,17,56,0,0,8,9,0.556,0.2962,0.3042
CRC,UPMC,0.379,29,0.439,56,39,0,1,17,10,0.8,0.4135,0.4127
Keren,UPMC,0.3402,21,0.368,39,39,0,0,12,10,0.8,0.4135,0.4127
ferguson,UPMC,0.276,20,0.377,34,39,0,0,9,10,0.5,0.4135,0.4127
Phillips,UPMC,0.3797,28,0.412,57,39,0,1,12,10,0.7,0.4135,0.4127
Danenberg,UPMC,0.2042,21,0.389,36,39,0,0,11,10,0.7,0.4135,0.4127
Sorin,UPMC,0.3237,13,0.302,17,39,0,0,11,10,0.6,0.4135,0.4127
CRC,Keren,0.2576,26,0.377,56,39,0,0,12,12,0.833,0.2988,0.283
UPMC,Keren,0.2805,21,0.368,39,39,0,0,9,12,0.667,0.2988,0.283
ferguson,Keren,0.242,17,0.304,34,39,0,0,9,12,0.583,0.2988,0.283
Phillips,Keren,0.2604,25,0.352,57,39,0,0,11,12,0.667,0.2988,0.283
Danenberg,Keren,0.2041,17,0.293,36,39,1,0,12,12,0.667,0.2988,0.283
Sorin,Keren,0.2239,13,0.302,17,39,0,0,12,12,0.917,0.2988,0.283
CRC,ferguson,0.3497,20,0.286,56,34,0,0,13,7,0.714,0.3412,0.3942
UPMC,ferguson,0.3266,20,0.377,39,34,0,0,10,7,0.714,0.3412,0.3942
Keren,ferguson,0.427,17,0.304,39,34,0,0,10,7,1.0,0.3412,0.3942
Phillips,ferguson,0.2735,20,0.282,57,34,1,0,12,7,0.857,0.3412,0.3942
Danenberg,ferguson,0.2434,17,0.321,36,34,0,1,9,7,0.571,0.3412,0.3942
Sorin,ferguson,0.4255,11,0.275,17,34,0,1,10,7,1.0,0.3412,0.3942
CRC,Phillips,0.3516,47,0.712,56,57,0,1,15,11,0.818,0.3617,0.3455
UPMC,Phillips,0.3301,28,0.412,39,57,0,1,9,11,0.727,0.3617,0.3455
Keren,Phillips,0.2967,25,0.352,39,57,0,0,10,11,0.636,0.3617,0.3455
ferguson,Phillips,0.3145,20,0.282,34,57,1,0,9,11,0.636,0.3617,0.3455
Danenberg,Phillips,0.1936,21,0.292,36,57,0,0,10,11,0.636,0.3617,0.3455
Sorin,Phillips,0.231,12,0.194,17,57,0,0,12,11,0.818,0.3617,0.3455
CRC,Danenberg,0.0569,20,0.278,56,36,0,0,20,12,0.417,0.053,0.0513
UPMC,Danenberg,0.0781,21,0.389,39,36,0,0,12,12,0.417,0.053,0.0513
Keren,Danenberg,0.0592,17,0.293,39,36,1,0,16,12,0.417,0.053,0.0513
ferguson,Danenberg,0.0202,17,0.321,34,36,0,1,9,12,0.167,0.053,0.0513
Phillips,Danenberg,0.0382,21,0.292,57,36,0,0,15,12,0.333,0.053,0.0513
Sorin,Danenberg,0.0159,12,0.293,17,36,0,1,14,12,0.333,0.053,0.0513
CRC,Sorin,0.3439,11,0.177,56,17,0,0,16,12,0.75,0.387,0.4147
UPMC,Sorin,0.2817,13,0.302,39,17,0,0,11,12,0.5,0.387,0.4147
Keren,Sorin,0.4086,13,0.302,39,17,0,0,11,12,0.667,0.387,0.4147
ferguson,Sorin,0.3149,11,0.275,34,17,0,1,8,12,0.5,0.387,0.4147
Phillips,Sorin,0.3697,12,0.194,57,17,0,0,13,12,0.667,0.387,0.4147
Danenberg,Sorin,0.1858,12,0.293,36,17,0,1,12,12,0.583,0.387,0.4147
